home_id,away_id,form_home,form_away,standing_home,standing_away,h2h_home_wins,h2h_away_wins,result
3073,3429,0,0,6,9,1,0,0
80,3086,0,0,8,12,2,0,1
84,3091,0,0,1,20,1,0,1
3071,80,0,0,4,8,0,2,-1
141,3100,0,0,2,10,1,1,1
3088,3089,0,0,19,15,1,1,1
3079,3073,0,0,13,6,0,0,0
3429,3075,0,0,9,17,2,0,1
102,3085,0,0,14,11,1,1,-1
3077,3074,0,0,20,20,1,1,1
3081,3086,0,0,18,12,1,1,1
3086,88,0,0,12,5,1,0,0
164,3429,0,0,3,9,2,0,1
3089,84,0,0,15,1,0,2,-1
3100,3077,0,0,10,20,1,0,1
3091,3088,0,0,20,19,0,2,-1
3085,3079,0,0,11,13,1,0,1
3073,3081,0,0,6,18,1,1,-1
80,102,0,0,8,14,2,0,1
3075,3071,0,0,17,4,0,2,-1
3074,141,0,0,20,2,0,2,-1
3071,3074,0,0,4,20,1,0,0
141,3086,0,0,2,12,2,0,1
3077,3085,0,0,20,11,1,1,1
102,3073,0,0,14,6,2,0,1
3429,3091,0,0,9,20,0,1,0
84,80,0,0,1,8,0,0,0
3081,3075,0,0,18,17,1,0,0
3079,3089,0,0,13,15,2,0,1
3088,164,0,0,19,3,1,1,-1
88,3100,0,0,5,10,1,1,1
3071,3091,0,0,4,20,1,1,1
3075,3086,0,0,17,12,1,1,1
3085,164,0,0,11,3,1,1,1
3091,3089,0,0,20,15,0,0,0
3081,3088,0,0,18,19,0,1,0
164,3091,0,0,3,20,2,0,1
3074,3085,0,0,20,11,0,1,0
3089,3429,0,0,15,9,0,0,0
3100,3081,0,0,10,18,1,0,1
88,3075,0,0,5,17,1,0,0
3086,102,0,0,12,14,0,1,0
3088,3077,0,0,19,20,1,0,1
3071,3073,0,0,4,6,1,1,1
84,3079,0,0,1,13,1,0,1
80,141,0,0,8,2,0,1,0
3100,3073,0,0,10,6,0,1,0
3071,3429,0,0,4,9,2,0,1
3075,3077,0,0,17,20,0,1,0
3089,3085,0,0,15,11,1,1,1
3081,164,0,0,18,3,1,0,0
80,3088,0,0,8,19,1,1,1
141,3091,0,0,2,20,2,0,1
3086,3079,0,0,12,13,0,1,0
84,3074,0,0,1,20,2,0,1
88,102,0,0,5,14,1,1,1
3429,80,0,0,9,8,0,1,-1
3079,141,0,0,13,2,0,2,-1
3088,3086,0,0,19,12,1,0,0
3073,3075,0,0,6,17,2,0,1
3077,3081,0,0,20,18,0,2,-1
3085,3100,0,0,11,10,0,2,-1
3091,3071,0,0,20,4,1,1,1
102,84,0,0,14,1,0,0,0
3074,88,0,0,20,5,0,1,0
164,3089,0,0,3,15,2,0,1
3071,102,0,0,4,14,1,0,0
3086,3074,0,0,12,20,1,1,1
3075,3079,0,0,17,13,0,0,0
80,3091,0,0,8,20,2,0,1
3100,164,0,0,10,3,1,1,1
3089,3077,0,0,15,20,0,0,0
3081,3085,0,0,18,11,0,2,-1
141,3088,0,0,2,19,0,2,-1
84,3429,0,0,1,9,1,1,-1
88,3073,0,0,5,6,1,1,1
3091,3086,0,0,20,12,0,2,-1
3074,3075,0,0,20,17,0,2,-1
3077,141,0,0,20,2,0,2,-1
3088,3071,0,0,19,4,1,0,1
3429,3081,0,0,9,18,1,0,1
3073,3089,0,0,6,15,2,0,1
3085,84,0,0,11,1,0,2,-1
141,88,0,0,2,5,1,0,1
3077,3071,0,0,20,4,1,1,-1
102,3074,0,0,14,20,2,0,1
3073,84,0,0,6,1,1,1,1
3429,3100,0,0,9,10,1,1,1
3079,80,0,0,13,8,0,2,-1
3088,88,0,0,19,5,1,0,0
3073,3086,0,0,6,12,2,0,1
3085,3429,0,0,11,9,0,0,0
102,3075,0,0,14,17,1,0,0
3100,3074,0,0,10,20,2,0,1
3081,84,0,0,18,1,0,1,0
3077,3091,0,0,20,20,1,0,1
3071,3079,0,0,4,13,1,1,1
3089,80,0,0,15,8,0,2,-1
164,141,0,0,3,2,0,1,-1
88,164,0,0,5,3,2,0,1
3091,3073,0,0,20,6,1,0,0
141,3071,0,0,2,4,2,0,1
3086,3085,0,0,12,11,1,0,0
3075,3100,0,0,17,10,0,2,-1
80,3077,0,0,8,20,1,1,1
3074,3089,0,0,20,15,0,2,-1
3079,3088,0,0,13,19,1,1,1
88,3081,0,0,5,18,1,1,1
84,164,0,0,1,3,1,1,1
3429,102,0,0,9,14,2,0,1
3081,3091,0,0,18,20,2,0,1
3077,3429,0,0,20,9,0,2,-1
164,3075,0,0,3,17,2,0,1
3089,88,0,0,15,5,1,1,-1
3100,3079,0,0,10,13,0,1,0
3085,80,0,0,11,8,0,2,-1
3073,3074,0,0,6,20,1,0,1
3071,3086,0,0,4,12,0,1,-1
102,141,0,0,14,2,0,2,-1
3088,84,0,0,19,1,0,1,0
164,80,0,0,3,8,0,1,-1
3079,88,0,0,13,5,0,2,-1
102,3100,0,0,14,10,1,1,1
141,3073,0,0,2,6,2,0,1
3086,3100,0,0,12,10,0,2,-1
3079,102,0,0,13,14,1,1,-1
3075,3089,0,0,17,15,0,1,-1
88,3071,0,0,5,4,1,0,1
3429,3088,0,0,9,19,1,1,1
84,3077,0,0,1,20,2,0,1
3091,3085,0,0,20,11,0,2,-1
80,3081,0,0,8,18,2,0,1
3074,164,0,0,20,3,0,2,-1
